"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"92",0028-10-17,"Ath Bilbao","Barcelona",0,2,"A"
"93",0028-10-17,"Ath Madrid","Villarreal",1,1,"D"
"94",0028-10-17,"Sevilla","Leganes",2,1,"H"
"95",0029-10-17,"Eibar","Levante",2,2,"D"
"96",0029-10-17,"Getafe","Sociedad",2,1,"H"
"97",0029-10-17,"Girona","Real Madrid",2,1,"H"
"98",0029-10-17,"Malaga","Celta",2,1,"H"
"99",0030-10-17,"Espanol","Betis",1,0,"H"
"100",0030-10-17,"Las Palmas","La Coruna",1,3,"A"
"101",0003-11-17,"Betis","Getafe",2,2,"D"
"102",0004-11-17,"Alaves","Espanol",1,0,"H"
"103",0004-11-17,"Barcelona","Sevilla",2,1,"H"
"104",0004-11-17,"La Coruna","Ath Madrid",0,1,"A"
"105",0004-11-17,"Valencia","Leganes",3,0,"H"
"106",0005-11-17,"Celta","Ath Bilbao",3,1,"H"
"107",0005-11-17,"Levante","Girona",1,2,"A"
"108",0005-11-17,"Real Madrid","Las Palmas",3,0,"H"
"109",0005-11-17,"Sociedad","Eibar",3,1,"H"
"110",0005-11-17,"Villarreal","Malaga",2,0,"H"
"111",0017-11-17,"Girona","Sociedad",1,1,"D"
"112",0018-11-17,"Ath Madrid","Real Madrid",0,0,"D"
"113",0018-11-17,"Getafe","Alaves",4,1,"H"
"114",0018-11-17,"Leganes","Barcelona",0,3,"A"
"115",0018-11-17,"Sevilla","Celta",2,1,"H"
"116",0019-11-17,"Ath Bilbao","Villarreal",1,1,"D"
"117",0019-11-17,"Espanol","Valencia",0,2,"A"
"118",0019-11-17,"Las Palmas","Levante",0,2,"A"
"119",0019-11-17,"Malaga","La Coruna",3,2,"H"
"120",0020-11-17,"Eibar","Betis",5,0,"H"
"121",0024-11-17,"Celta","Leganes",1,0,"H"
"122",0025-11-17,"Alaves","Eibar",1,2,"A"
"123",0025-11-17,"Betis","Girona",2,2,"D"
"124",0025-11-17,"Levante","Ath Madrid",0,5,"A"
"125",0025-11-17,"Real Madrid","Malaga",3,2,"H"
"126",0026-11-17,"La Coruna","Ath Bilbao",2,2,"D"
"127",0026-11-17,"Sociedad","Las Palmas",2,2,"D"
"128",0026-11-17,"Valencia","Barcelona",1,1,"D"
"129",0026-11-17,"Villarreal","Sevilla",2,3,"A"
"130",0027-11-17,"Espanol","Getafe",1,0,"H"
"131",0001-12-17,"Malaga","Levante",0,0,"D"
"132",0002-12-17,"Ath Bilbao","Real Madrid",0,0,"D"
"133",0002-12-17,"Ath Madrid","Sociedad",2,1,"H"
"134",0002-12-17,"Barcelona","Celta",2,2,"D"
"135",0002-12-17,"Sevilla","La Coruna",2,0,"H"
"136",0003-12-17,"Eibar","Espanol",3,1,"H"
"137",0003-12-17,"Getafe","Valencia",1,0,"H"
"138",0003-12-17,"Las Palmas","Betis",1,0,"H"
"139",0003-12-17,"Leganes","Villarreal",3,1,"H"
"140",0004-12-17,"Girona","Alaves",2,3,"A"
"141",0008-12-17,"Alaves","Las Palmas",2,0,"H"
"142",0009-12-17,"Getafe","Eibar",0,0,"D"
"143",0009-12-17,"La Coruna","Leganes",1,0,"H"
"144",0009-12-17,"Real Madrid","Sevilla",5,0,"H"
"145",0009-12-17,"Valencia","Celta",2,1,"H"
"146",0010-12-17,"Betis","Ath Madrid",0,1,"A"
"147",0010-12-17,"Levante","Ath Bilbao",1,2,"A"
"148",0010-12-17,"Sociedad","Malaga",0,2,"A"
"149",0010-12-17,"Villarreal","Barcelona",0,2,"A"
"150",0011-12-17,"Espanol","Girona",0,1,"A"
"151",0015-12-17,"Sevilla","Levante",0,0,"D"
"152",0016-12-17,"Ath Bilbao","Sociedad",0,0,"D"
"153",0016-12-17,"Ath Madrid","Alaves",1,0,"H"
"154",0016-12-17,"Eibar","Valencia",2,1,"H"
"155",0017-12-17,"Barcelona","La Coruna",4,0,"H"
"156",0017-12-17,"Celta","Villarreal",0,1,"A"
"157",0017-12-17,"Girona","Getafe",1,0,"H"
"158",0017-12-17,"Las Palmas","Espanol",2,2,"D"
"159",0018-12-17,"Malaga","Betis",0,2,"A"
"160",0019-12-17,"Levante","Leganes",0,0,"D"
"161",0020-12-17,"Getafe","Las Palmas",2,0,"H"
"162",0020-12-17,"Sociedad","Sevilla",3,1,"H"
"163",0021-12-17,"Alaves","Malaga",1,0,"H"
"164",0021-12-17,"Eibar","Girona",4,1,"H"
"165",0022-12-17,"Betis","Ath Bilbao",0,2,"A"
"166",0022-12-17,"Espanol","Ath Madrid",1,0,"H"
"167",0023-12-17,"La Coruna","Celta",1,3,"A"
"168",0023-12-17,"Real Madrid","Barcelona",0,3,"A"
"169",0023-12-17,"Valencia","Villarreal",0,1,"A"
"170",0006-01-18,"Ath Madrid","Getafe",2,0,"H"
"171",0006-01-18,"Las Palmas","Eibar",1,2,"A"
"172",0006-01-18,"Sevilla","Betis",3,5,"A"
"173",0006-01-18,"Valencia","Girona",2,1,"H"
"174",0007-01-18,"Ath Bilbao","Alaves",2,0,"H"
"175",0007-01-18,"Barcelona","Levante",3,0,"H"
"176",0007-01-18,"Celta","Real Madrid",2,2,"D"
"177",0007-01-18,"Leganes","Sociedad",1,0,"H"
"178",0007-01-18,"Villarreal","La Coruna",1,1,"D"
"179",0008-01-18,"Malaga","Espanol",0,1,"A"
"180",0012-01-18,"Getafe","Malaga",1,0,"H"
"181",0013-01-18,"Eibar","Ath Madrid",0,1,"A"
"182",0013-01-18,"Girona","Las Palmas",6,0,"H"
"183",0013-01-18,"La Coruna","Valencia",1,2,"A"
"184",0013-01-18,"Real Madrid","Villarreal",0,1,"A"
"185",0014-01-18,"Alaves","Sevilla",1,0,"H"
"186",0014-01-18,"Espanol","Ath Bilbao",1,1,"D"
"187",0014-01-18,"Levante","Celta",0,1,"A"
"188",0014-01-18,"Sociedad","Barcelona",2,4,"A"
"189",0015-01-18,"Betis","Leganes",3,2,"H"
"190",0019-01-18,"Getafe","Ath Bilbao",2,2,"D"
"191",0020-01-18,"Ath Madrid","Girona",1,1,"D"
"192",0020-01-18,"Espanol","Sevilla",0,3,"A"
"193",0020-01-18,"Las Palmas","Valencia",2,1,"H"
"194",0020-01-18,"Villarreal","Levante",2,1,"H"
"195",0021-01-18,"Alaves","Leganes",2,2,"D"
"196",0021-01-18,"Betis","Barcelona",0,5,"A"
"197",0021-01-18,"Real Madrid","La Coruna",7,1,"H"
"198",0021-01-18,"Sociedad","Celta",1,2,"A"
"199",0022-01-18,"Eibar","Malaga",1,1,"D"
"200",0026-01-18,"Ath Bilbao","Eibar",1,1,"D"
"201",0027-01-18,"La Coruna","Levante",2,2,"D"
"202",0027-01-18,"Malaga","Girona",0,0,"D"
"203",0027-01-18,"Valencia","Real Madrid",1,4,"A"
"204",0027-01-18,"Villarreal","Sociedad",4,2,"H"
"205",0028-01-18,"Ath Madrid","Las Palmas",3,0,"H"
"206",0028-01-18,"Barcelona","Alaves",2,1,"H"
"207",0028-01-18,"Leganes","Espanol",3,2,"H"
"208",0028-01-18,"Sevilla","Getafe",1,1,"D"
"209",0029-01-18,"Celta","Betis",3,2,"H"
"210",0002-02-18,"Sociedad","La Coruna",5,0,"H"
"211",0003-02-18,"Alaves","Celta",2,1,"H"
"212",0003-02-18,"Betis","Villarreal",2,1,"H"
"213",0003-02-18,"Eibar","Sevilla",5,1,"H"
"214",0003-02-18,"Levante","Real Madrid",2,2,"D"
"215",0004-02-18,"Ath Madrid","Valencia",1,0,"H"
"216",0004-02-18,"Espanol","Barcelona",1,1,"D"
"217",0004-02-18,"Getafe","Leganes",0,0,"D"
"218",0004-02-18,"Girona","Ath Bilbao",2,0,"H"
"219",0005-02-18,"Las Palmas","Malaga",1,0,"H"
"220",0009-02-18,"Ath Bilbao","Las Palmas",0,0,"D"
"221",0010-02-18,"Leganes","Eibar",0,1,"A"
"222",0010-02-18,"Malaga","Ath Madrid",0,1,"A"
"223",0010-02-18,"Real Madrid","Sociedad",5,2,"H"
"224",0010-02-18,"Villarreal","Alaves",1,2,"A"
