"","FTAG","Freq"
"1","0",0.351754385964912
"2","1",0.340350877192982
"3","2",0.212280701754386
"4","3",0.0543859649122807
"5","4",0.0289473684210526
"6","5",0.00964912280701754
"7","6",0.00263157894736842
