"","X","X0","X1","X2","X3","X4","X5","X6"
"1",0,0.0780701754385965,0.0807017543859649,0.0456140350877193,0.0184210526315789,0.00526315789473684,0.0043859649122807,0
"2",1,0.115789473684211,0.114912280701754,0.068421052631579,0.0175438596491228,0.0087719298245614,0.00175438596491228,0
"3",2,0.087719298245614,0.093859649122807,0.0614035087719298,0.0114035087719298,0.0087719298245614,0.00175438596491228,0.00175438596491228
"4",3,0.0447368421052632,0.0324561403508772,0.0245614035087719,0.00614035087719298,0.00175438596491228,0.00175438596491228,0.00087719298245614
"5",4,0.0140350877192982,0.0105263157894737,0.00701754385964912,0,0.00350877192982456,0,0
"6",5,0.0087719298245614,0.00526315789473684,0.0043859649122807,0,0.00087719298245614,0,0
"7",6,0.00263157894736842,0.00175438596491228,0,0.00087719298245614,0,0,0
"8",7,0,0.00087719298245614,0,0,0,0,0
"9",8,0,0,0.00087719298245614,0,0,0,0
